[1208/045601.860:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1209/055648.116:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1210/191202.643:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191202.643:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191202.643:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191202.643:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191435.223:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191435.223:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191435.223:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191435.223:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191435.238:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191435.238:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191435.238:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191435.238:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191544.079:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1210/191852.052:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191852.060:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191852.060:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191852.060:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191852.060:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191852.060:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191852.060:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/191852.060:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/192703.743:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/192703.743:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/192703.743:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/192703.743:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/192703.743:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/192703.743:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/192703.743:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/192703.743:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.594:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.594:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.594:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.594:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.594:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.594:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.609:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.811:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.811:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.811:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.811:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.811:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.811:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.811:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193127.811:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193242.689:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193242.697:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193242.697:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193242.697:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193242.697:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193242.697:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193242.697:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/193242.697:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.726:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.734:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.734:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
